id,nama,harga,satuan,gambar
1,Selada Hidroponik,12000,ikat,https://images.unsplash.com/photo-1622206151226-18ca2c9ab4a1?w=400&h=300&fit=crop
2,Bayam Organik,10000,ikat,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=400&h=300&fit=crop
3,Tomat Segar,20000,kg,https://images.unsplash.com/photo-1546094096-0df4bcaaa337?w=400&h=300&fit=crop
4,Cabai Rawit,30000,kg,https://images.unsplash.com/photo-1583663848850-46af132dc08e?w=400&h=300&fit=crop
5,Wortel Organik,15000,kg,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=400&h=300&fit=crop
6,Brokoli Segar,25000,kg,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=400&h=300&fit=crop
7,Kangkung Hidroponik,8000,ikat,https://images.unsplash.com/photo-1515023115689-589c33041d3c?w=400&h=300&fit=crop
8,Sawi Hijau,9000,ikat,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=400&h=300&fit=crop
9,Paprika Merah,35000,kg,https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?w=400&h=300&fit=crop
10,Timun Jepang,18000,kg,https://images.unsplash.com/photo-1604977042946-1eecc30f269e?w=400&h=300&fit=crop
